Titolo,Tipo,Anno,Stagione,Stagione/Episodio,Nome File,Cartella,Estensione,Dimensione (MB),Disco,Percorso Completo,Data Scansione
007 - Casino Royale,Film,,,,007 - Casino Royale HD.mkv,.,.mkv,8133.1,Memoria 1,F:\Film Miei HD\007 - Casino Royale HD.mkv,2026-08-20
007 - Quantum Of Solace,Film,,,,007 - Quantum Of Solace HD.mkv,.,.mkv,8578.7,Memoria 1,F:\Film Miei HD\007 - Quantum Of Solace HD.mkv,2026-08-20
007 - Skyfall,Film,,,,007 - Skyfall HD.mkv,.,.mkv,7984.8,Memoria 1,F:\Film Miei HD\007 - Skyfall HD.mkv,2026-08-20
007 Spectre,Film,,,,007 Spectre HD.mkv,.,.mkv,13469.7,Memoria 2,F:007 Spectre HD.mkv,2026-08-20
12 Anni Schiavo,Film,,,,12 Anni Schiavo HD.mkv,.,.mkv,6151.8,Memoria 1,F:\Film Miei HD\12 Anni Schiavo HD.mkv,2026-08-20
127 Ore,Film,,,,127 Ore HD.mkv,.,.mkv,10966.7,Memoria 1,F:\Film Miei HD\127 Ore HD.mkv,2026-08-20
13 Hours - The Secret Soldiers Of Benghazi,Film,,,,13 Hours - The Secret Soldiers Of Benghazi HD.mkv,.,.mkv,11449.8,Memoria 2,F:13 Hours - The Secret Soldiers Of Benghazi HD.mkv,2026-08-20
1981 - Indagine A New York,Film,,,,1981 - Indagine A New York HD.mkv,.,.mkv,10562.0,Memoria 2,F:1981 - Indagine A New York HD.mkv,2026-08-20
2012,Film,,,,2012 HD.mkv,.,.mkv,15713.5,Memoria 1,F:\Film Miei HD\2012 HD.mkv,2026-08-20
300,Film,,,,300 HD.mkv,.,.mkv,11471.2,Memoria 1,F:\Film Miei HD\300 HD.mkv,2026-08-20
300 - L'alba Di Un Impero,Film,,,,300 - L'alba Di Un Impero HD.mkv,.,.mkv,9249.6,Memoria 1,F:\Film Miei HD\300 - L'alba Di Un Impero HD.mkv,2026-08-20
7 Sconosciuti A El Royale,Film,,,,7 Sconosciuti A El Royale HQ.mkv,.,.mkv,,Memoria 3,F:\7 Sconosciuti A El Royale HQ.mkv,2026-08-20
8 Mile,Film,,,,8 Mile HD.mkv,.,.mkv,8143.5,Memoria 1,F:\Film Miei HD\8 Mile HD.mkv,2026-08-20
A Bigger Splash,Film,,,,A Bigger Splash HD.mkv,.,.mkv,,Memoria 3,F:\A Bigger Splash HD.mkv,2026-08-20
A Bug's Life,Film,,,,(Pixar) - A Bug's Life HD.mkv,.,.mkv,,Memoria 3,F:\(Pixar) - A Bug's Life HD.mkv,2026-08-20
A C A B,Film,,,,A.C.A.B HD.mkv,.,.mkv,14734.9,Memoria 1,F:\Film Miei HD\A.C.A.B HD.mkv,2026-08-20
A Spasso Nel Bosco,Film,,,,A Spasso Nel Bosco HD.mkv,.,.mkv,,Memoria 3,F:\A Spasso Nel Bosco HD.mkv,2026-08-20
A Time To Kill - Il Momento di Uccidere,Film,,,,A Time To Kill - Il Momento di Uccidere HD.mkv,.,.mkv,4478.2,Memoria 1,F:\Film Miei HD\A Time To Kill - Il Momento di Uccidere HD.mkv,2026-08-20
A United Kingdom,Film,,,,A United Kingdom HD.mkv,.,.mkv,,Memoria 3,F:\A United Kingdom HD.mkv,2026-08-20
About A Boy - Un Ragazzo,Film,,,,About A Boy - Un Ragazzo HD.mkv,.,.mkv,,Memoria 3,F:\About A Boy - Un Ragazzo HD.mkv,2026-08-20
Ace Ventura - L'Acchiappanimali,Film,,,,Ace Ventura - L'Acchiappanimali HD.mkv,.,.mkv,4566.3,Memoria 1,F:\Film Miei HD\Ace Ventura - L'Acchiappanimali HD.mkv,2026-08-20
Ace Ventura - Missione Africa,Film,,,,Ace Ventura - Missione Africa HD.mkv,.,.mkv,4606.5,Memoria 1,F:\Film Miei HD\Ace Ventura - Missione Africa HD.mkv,2026-08-20
Across The Universe,Film,,,,Across The Universe HD.mkv,.,.mkv,,Memoria 3,F:\Across The Universe HD.mkv,2026-08-20
Addio Fottuti Musi Verdi,Film,,,,Addio Fottuti Musi Verdi HD.mkv,.,.mkv,,Memoria 3,F:\Addio Fottuti Musi Verdi HD.mkv,2026-08-20
After Earth,Film,,,,After Earth HD.mkv,.,.mkv,10088.8,Memoria 1,F:\Film Miei HD\After Earth HD.mkv,2026-08-20
Al Posto Tuo,Film,,,,Al Posto Tuo HD.mkv,.,.mkv,,Memoria 3,F:\Al Posto Tuo HD.mkv,2026-08-20
